City_ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
0,Busselton,AU,67.14,broken clouds,-33.65,115.3333,Observatory Guest House
2,Namibe,AO,72.32,clear sky,-15.1961,12.1522,Hotel Chik Chik Namibe
4,Bima,ID,76.21,overcast clouds,-8.4667,118.7167,Lambitu Hotel
6,Atuona,PF,79.12,few clouds,-9.8,-139.0333,Villa Enata
10,Faanui,PF,82.78,scattered clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
12,Moron,AR,82.96,light rain,-34.6534,-58.6198,Hotel Morón
13,Sao Bras De Alportel,PT,65.28,few clouds,37.1531,-7.8875,Casa Kalu
14,Salta,AR,82.58,few clouds,-24.7859,-65.4117,Hotel Alejandro I
15,Port Blair,IN,80.64,mist,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
19,Carnarvon,AU,77.07,scattered clouds,-24.8667,113.6333,Hospitality Carnarvon
20,Rikitea,PF,79.68,clear sky,-23.1203,-134.9692,People ThankYou
23,Puerto Ayora,EC,84.16,scattered clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
26,Luanda,AO,78.73,few clouds,-8.8368,13.2343,EPIC SANA Luanda
29,Butaritari,KI,80.69,light rain,3.0707,172.7902,Isles Sunset Lodge
33,Constitucion,CL,67.78,few clouds,-35.3333,-72.4167,Hotel Boutique Las Azucenas
35,Kapaa,US,73.47,broken clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
42,Tura,IN,73.89,clear sky,25.5198,90.2201,Hotel RIKMAN Continental
50,Geraldton,AU,73.81,overcast clouds,-28.7667,114.6,Broadwater Mariner Resort
51,Berbera,SO,81.81,broken clouds,10.4396,45.0143,IBCO REAL ESTATE PROPERTY
54,San Patricio,US,78.17,clear sky,28.017,-97.5169,"Motel 6 Sinton, TX"
56,Bambous Virieux,MU,79.05,light rain,-20.3428,57.7575,Casa Tia Villa
64,Lufilufi,WS,76.78,light rain,-13.8745,-171.5986,Leuaina Beach Resort and Spa
66,Taree,AU,68.11,overcast clouds,-31.9,152.4667,All Seasons Country Lodge Taree
68,Road Town,VG,82.49,few clouds,18.4167,-64.6167,"ZINGARA 76ft Catamaran, full crew-all included"
69,Arraial Do Cabo,BR,80.56,few clouds,-22.9661,-42.0278,Pousada Porto Praia
71,Atambua,ID,73.02,overcast clouds,-9.1061,124.8925,Kost Alfa Flat
74,Saint-Philippe,RE,76.59,scattered clouds,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
78,Voh,NC,75.04,overcast clouds,-20.9667,164.7,Le gîte du Koniambo
83,Akyab,MM,80.02,broken clouds,20.15,92.9,Hotel Memory
86,Souillac,MU,79.18,light rain,-20.5167,57.5167,Shanti Maurice Resort & Spa
87,Bandarban,BD,80.31,scattered clouds,22.1965,92.2262,"Hilltop, Hafazgona, Bandarban"
91,Pisco,PE,71.02,clear sky,-13.7,-76.2167,Hotel San Isidro Oficial
95,Barabai,ID,73.65,broken clouds,-2.5833,115.3833,HOTEL BOURAQ INDAH PERMAI
109,Nacogdoches,US,66.06,clear sky,31.6002,-94.6335,The Fredonia Hotel & Convention Center
110,Avarua,CK,78.85,scattered clouds,-21.2078,-159.775,Paradise Inn
116,Cam Ranh,VN,75.16,few clouds,11.9214,109.1591,OYO 598 Peony Hotel
119,Passos,BR,83.66,few clouds,-20.7189,-46.6097,Hotel Mohallem
120,Castro,BR,73.24,overcast clouds,-24.7911,-50.0119,CHACARA BAILLY
121,Nishihara,JP,65.48,clear sky,26.1842,127.7558,Minshuku Agaihama
125,Belmonte,BR,84.42,clear sky,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
128,Vao,NC,79.41,heavy intensity rain,-22.6667,167.4833,Hotel Kou-Bugny
129,Hithadhoo,MV,82.85,few clouds,-0.6,73.0833,Scoop Guest House
131,Georgetown,MY,78.73,scattered clouds,5.4112,100.3354,Cititel Penang
132,Ponta Do Sol,PT,66.0,broken clouds,32.6667,-17.1,Hotel do Campo
137,Victoria,HK,73.96,clear sky,22.2855,114.1577,Mini Hotel Central
139,Sao Joao Da Barra,BR,82.49,overcast clouds,-21.6403,-41.0511,Pousada Porto De Canoas
144,Sibolga,ID,75.06,overcast clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
148,Crateus,BR,78.21,overcast clouds,-5.1783,-40.6775,Orient Plaza Hotel
150,Hilo,US,73.26,broken clouds,19.7297,-155.09,Hilo Hawaiian Hotel
152,Chuy,UY,76.46,overcast clouds,-33.6971,-53.4616,Nuevo Hotel Plaza
154,Cidreira,BR,72.19,overcast clouds,-30.1811,-50.2056,Hotel Castelo
155,Minab,IR,75.52,clear sky,27.1467,57.0801,Bam campground
158,Chimbote,PE,74.98,overcast clouds,-9.0853,-78.5783,Hotel Briliá
163,Mahibadhoo,MV,83.91,scattered clouds,3.7833,72.9667,Omadhoo Inn
167,Bengkulu,ID,73.45,broken clouds,-3.8004,102.2655,Grage Hotel Bengkulu
172,Kavieng,PG,79.92,moderate rain,-2.5744,150.7967,Nusa Island Retreat
174,Vila Velha,BR,84.15,broken clouds,-20.3297,-40.2925,Hotel Vitória Palace
176,Dingle,PH,74.44,heavy intensity rain,10.9995,122.6711,SEGAYA PROPERTY
181,Gushikawa,JP,65.43,clear sky,26.3544,127.8686,Kirari Guest House
184,Labuhan,ID,77.83,overcast clouds,-6.8844,112.2051,DoubleFAG
185,Alofi,NU,71.49,overcast clouds,-19.0595,-169.9187,Taloa Heights
186,Ghanzi,BW,76.55,few clouds,-21.5667,21.7833,Ghanzi Farmhouse
189,Sabang,ID,82.56,broken clouds,5.8933,95.3214,Hotel Citra
190,Hambantota,LK,79.48,overcast clouds,6.1241,81.1185,Bungalow 63
191,Cayenne,GF,82.44,broken clouds,4.9333,-52.3333,Hôtel Le Dronmi
195,Inirida,CO,82.89,broken clouds,3.8653,-67.9239,Fuente del Guania Hotel de Lujo
196,Praia Da Vitoria,PT,66.45,scattered clouds,38.7333,-27.0667,Hotel Branco I
198,Petatlan,MX,80.4,overcast clouds,17.5167,-101.2667,Hotel California Petatlán
201,Santa Rosa,PH,80.58,overcast clouds,14.3122,121.1114,Erlyn’s Sta Rosa City Home
203,Daru,PG,79.11,overcast clouds,-9.0763,143.2092,Daru Lodge
204,Lalmohan,BD,80.33,clear sky,22.3384,90.7419,Arifur Rahman Miraj
208,Rocha,UY,81.46,overcast clouds,-34.4833,-54.3333,Hotel Arrarte
210,Padang,ID,78.12,light rain,-0.9492,100.3543,Mercure Padang
214,Dolores,AR,81.23,clear sky,-36.3132,-57.6792,Apart Hotel - Arianos
215,Tabou,CI,82.58,overcast clouds,4.423,-7.3528,hotêl doufoulougou
216,Wanning,CN,68.2,broken clouds,18.8003,110.3967,Paradise Hotel
218,Havelock,US,81.01,scattered clouds,34.8791,-76.9013,Sherwood Motel
219,Teocaltiche,MX,76.51,scattered clouds,21.4333,-102.5833,Hotel los Caxcanes
220,Kirakira,SB,80.24,overcast clouds,-10.4544,161.9205,SanBiz Lodge
224,Amnat Charoen,TH,71.73,scattered clouds,15.9167,104.75,หอพักนักศึกษา
225,Tingo Maria,PE,79.11,scattered clouds,-9.2895,-76.0088,Hospedaje Paraíso
228,Cumaral,CO,72.01,overcast clouds,4.2708,-73.4867,Finca El Jecho
230,Hualmay,PE,74.75,broken clouds,-11.0964,-77.6139,Hotel Villa Kitzia Huacho
232,Beira,MZ,80.69,few clouds,-19.8436,34.8389,Beira Terrace Hotel
235,Mercedes,AR,80.85,light rain,-34.6515,-59.4307,Posada del Inti Centro
236,Necochea,AR,65.17,few clouds,-38.5473,-58.7368,dyd -mar Hotel
251,Pokhara,NP,73.76,overcast clouds,28.2333,83.9833,OYO 170 Hotel View Point
258,Balangiga,PH,76.48,moderate rain,11.1097,125.3875,Country Inn Bed and Breakfast
259,Millbrook,US,71.64,clear sky,32.4799,-86.3619,Courtyard by Marriott Montgomery Prattville
260,Sibu,MY,73.71,light rain,2.3,111.8167,RH HOTEL (4 Star)
261,Baghdad,IQ,80.51,broken clouds,33.3406,44.4009,Baghdad Hotel
266,Soyo,AO,78.8,overcast clouds,-6.1349,12.3689,Hotel Mpampa
269,Ambilobe,MG,75.51,moderate rain,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
270,Batouri,CM,80.71,overcast clouds,4.4333,14.3667,Hotel Hollywood
271,Ilhabela,BR,75.2,broken clouds,-23.7781,-45.3581,Ilha Flat Hotel
279,Ambulu,ID,74.97,broken clouds,-8.345,113.6058,Hotel Ambulu Jember
281,Lucapa,AO,68.99,light rain,-8.4192,20.7447,Residência Ulisses Dos Santos
284,Makakilo City,US,75.18,clear sky,21.3469,-158.0858,Marriott's Ko Olina Beach Club
286,Vaini,TO,75.36,broken clouds,-21.2,-175.2,Keleti Beach Resort
287,Kailua,US,76.64,broken clouds,21.4022,-157.7394,Sheffield House Bed & Breakfast
294,Gold Coast,AU,69.01,moderate rain,-28.0,153.4333,Mantra Towers of Chevron Surfers Paradise
296,Oranjestad,AW,84.15,scattered clouds,12.524,-70.027,Divi Village Golf & Beach Resort
299,Mareeba,AU,70.52,broken clouds,-17.0,145.4333,Trinity Plains Tourist Park
300,El Alto,PE,83.86,overcast clouds,-4.2714,-81.2147,Black Marlin Restaurant & Hospedaje
302,Olavarria,AR,79.02,clear sky,-36.8927,-60.3225,Hotel Santa Rosa
309,Lorengau,PG,80.73,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
310,Mahebourg,MU,79.09,scattered clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
311,Kisangani,CD,74.84,broken clouds,0.5167,25.2,Grand Ramela Hotel
314,Pilar,BR,78.73,broken clouds,-9.5972,-35.9567,Pousada e churrascaria Manguaba
318,Omboue,GA,79.68,overcast clouds,-1.5746,9.2618,Hotel Olako
324,Isangel,VU,79.79,overcast clouds,-19.55,169.2667,Tanna Lodge
327,Denpasar,ID,76.71,scattered clouds,-8.65,115.2167,OYO 3156 Hotel Warta 2
329,Suez,EG,84.54,overcast clouds,29.9737,32.5263,Green House
330,Yenagoa,NG,83.82,broken clouds,4.9247,6.2642,Aridolf Resort Wellness and Spa
335,Na Wa,TH,73.35,broken clouds,17.4897,104.1006,ร้านช่างเจมส์ สแตนเลส ประตู อื่นๆ คอกซิ่ง นาหว้านครพนม
337,Kalmunai,LK,80.22,broken clouds,7.4167,81.8167,VS Villa
338,Srikakulam,IN,78.22,clear sky,18.3,83.9,Micro Systems
340,Laguna,US,80.17,clear sky,38.421,-121.4238,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
341,Kutum,SD,84.07,clear sky,14.2,24.6667,Dibbo areaمنطقة دبو
344,Korla,CN,66.18,clear sky,41.7597,86.1469,Gulisitan Hotel
347,Sai Buri,TH,79.97,overcast clouds,6.7013,101.6168,ร้าน​ เวดดิ้ง
348,Kieta,PG,75.99,moderate rain,-6.2167,155.6333,Uruna Bay Retreat
349,Qinzhou,CN,70.56,clear sky,21.95,108.6167,Jinjiang Inn Style Qingzhou Walmart
353,Kiama,AU,68.0,light rain,-34.6833,150.8667,The Sebel Kiama Harbourside
