ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
0,Busselton,AU,2022-04-07 17:25:11,-33.65,115.3333,67.14,54,79,4.97,broken clouds
1,Kruisfontein,ZA,2022-04-07 17:26:49,-34.0033,24.7314,56.88,67,30,10.74,scattered clouds
2,Namibe,AO,2022-04-07 17:26:49,-15.1961,12.1522,72.32,75,5,12.91,clear sky
3,Avallon,FR,2022-04-07 17:26:49,47.4833,3.9,53.24,92,100,23.02,light rain
4,Bima,ID,2022-04-07 17:26:50,-8.4667,118.7167,76.21,94,98,4.14,overcast clouds
5,Bara,NG,2022-04-07 17:22:12,10.3744,10.7288,102.0,13,2,7.36,clear sky
6,Atuona,PF,2022-04-07 17:26:50,-9.8,-139.0333,79.12,72,17,15.95,few clouds
7,Palmer,US,2022-04-07 17:26:51,42.1584,-72.3287,53.65,59,100,5.01,overcast clouds
8,Hermanus,ZA,2022-04-07 17:26:51,-34.4187,19.2345,55.8,69,22,10.94,few clouds
9,Saint George,US,2022-04-07 17:26:31,37.1041,-113.5841,63.79,13,0,5.75,clear sky
10,Faanui,PF,2022-04-07 17:26:52,-16.4833,-151.75,82.78,70,30,19.69,scattered clouds
11,Ushuaia,AR,2022-04-07 17:21:03,-54.8,-68.3,44.22,61,20,10.36,few clouds
12,Moron,AR,2022-04-07 17:26:52,-34.6534,-58.6198,82.96,60,0,7.07,light rain
13,Sao Bras De Alportel,PT,2022-04-07 17:26:53,37.1531,-7.8875,65.28,72,20,10.36,few clouds
14,Salta,AR,2022-04-07 17:23:58,-24.7859,-65.4117,82.58,41,20,4.61,few clouds
15,Port Blair,IN,2022-04-07 17:26:53,11.6667,92.75,80.64,89,40,0.0,mist
16,Cape Town,ZA,2022-04-07 17:23:15,-33.9258,18.4232,62.28,69,0,18.41,clear sky
17,Lebu,CL,2022-04-07 17:26:54,-37.6167,-73.65,61.56,84,46,5.61,scattered clouds
18,Cabo San Lucas,MX,2022-04-07 17:23:46,22.8909,-109.9124,85.3,58,0,11.5,clear sky
19,Carnarvon,AU,2022-04-07 17:25:21,-24.8667,113.6333,77.07,78,40,12.66,scattered clouds
20,Rikitea,PF,2022-04-07 17:25:18,-23.1203,-134.9692,79.68,63,7,14.14,clear sky
21,Altay,CN,2022-04-07 17:18:24,47.8667,88.1167,48.09,48,44,9.08,scattered clouds
22,Skibbereen,IE,2022-04-07 17:26:55,51.55,-9.2667,48.11,66,85,8.99,overcast clouds
23,Puerto Ayora,EC,2022-04-07 17:25:13,-0.7393,-90.3518,84.16,71,50,10.69,scattered clouds
24,Albany,US,2022-04-07 17:24:56,42.6001,-73.9662,47.95,91,100,5.01,moderate rain
25,Zyryanka,RU,2022-04-07 17:26:56,65.75,150.85,-11.88,100,100,1.25,overcast clouds
26,Luanda,AO,2022-04-07 17:26:03,-8.8368,13.2343,78.73,82,20,13.22,few clouds
27,Golspie,GB,2022-04-07 17:26:57,57.9727,-3.978,42.94,83,100,19.35,overcast clouds
28,La Ronge,CA,2022-04-07 17:24:53,55.1001,-105.2842,37.65,56,0,3.44,clear sky
29,Butaritari,KI,2022-04-07 17:20:45,3.0707,172.7902,80.69,81,100,16.84,light rain
30,Yellowknife,CA,2022-04-07 17:26:58,62.456,-114.3525,32.41,70,40,5.75,scattered clouds
31,Qaanaaq,GL,2022-04-07 17:26:58,77.484,-69.3632,-0.08,80,32,5.86,scattered clouds
32,High Level,CA,2022-04-07 17:26:20,58.5169,-117.136,37.51,60,20,2.3,few clouds
33,Constitucion,CL,2022-04-07 17:26:58,-35.3333,-72.4167,67.78,59,14,14.63,few clouds
34,Knysna,ZA,2022-04-07 17:26:59,-34.0363,23.0471,56.86,79,13,4.5,few clouds
35,Kapaa,US,2022-04-07 17:20:59,22.0752,-159.319,73.47,81,75,13.8,broken clouds
36,Port Alfred,ZA,2022-04-07 17:27:00,-33.5906,26.891,59.18,76,33,5.99,scattered clouds
37,Casa Nova,BR,2022-04-07 17:27:00,-9.4167,-41.1333,92.05,25,47,4.7,scattered clouds
38,Nikolskoye,RU,2022-04-07 17:26:10,59.7035,30.7861,42.87,99,100,8.14,light rain
39,Krasnoselkup,RU,2022-04-07 17:20:58,65.7,82.4667,9.73,97,74,7.87,broken clouds
40,Longyearbyen,SJ,2022-04-07 17:27:01,78.2186,15.6401,12.04,62,20,13.8,few clouds
41,Cody,US,2022-04-07 17:19:52,44.5263,-109.0565,46.65,29,0,13.8,clear sky
42,Tura,IN,2022-04-07 17:17:14,25.5198,90.2201,73.89,68,1,4.45,clear sky
43,Dikson,RU,2022-04-07 17:27:02,73.5069,80.5464,2.17,98,100,9.82,overcast clouds
44,Espanola,US,2022-04-07 17:27:02,35.9911,-106.0806,55.0,16,2,2.28,clear sky
45,Sujangarh,IN,2022-04-07 17:27:02,27.7011,74.4649,87.6,7,3,6.64,clear sky
46,Chambersburg,US,2022-04-07 17:26:20,39.9376,-77.6611,51.76,83,100,5.99,light rain
47,Tiksi,RU,2022-04-07 17:26:29,71.6872,128.8694,-11.67,100,91,1.57,overcast clouds
48,Barrow,US,2022-04-07 17:28:03,71.2906,-156.7887,-2.18,71,0,9.22,clear sky
49,Tasiilaq,GL,2022-04-07 17:28:04,65.6145,-37.6368,23.16,90,100,9.46,light snow
50,Geraldton,AU,2022-04-07 17:26:30,-28.7667,114.6,73.81,88,100,8.05,overcast clouds
51,Berbera,SO,2022-04-07 17:28:04,10.4396,45.0143,81.81,73,51,8.05,broken clouds
52,Jamestown,US,2022-04-07 17:25:15,42.097,-79.2353,51.39,73,100,8.05,overcast clouds
53,Hofn,IS,2022-04-07 17:18:21,64.2539,-15.2082,35.62,38,20,17.27,few clouds
54,San Patricio,US,2022-04-07 17:28:05,28.017,-97.5169,78.17,16,0,16.84,clear sky
55,Vestmanna,FO,2022-04-07 17:28:05,62.1564,-7.1664,34.72,69,75,31.07,light snow
56,Bambous Virieux,MU,2022-04-07 17:28:06,-20.3428,57.7575,79.05,83,40,10.36,light rain
57,Havoysund,NO,2022-04-07 17:28:06,70.9963,24.6622,35.83,86,100,21.36,overcast clouds
58,Homer,US,2022-04-07 17:28:07,59.6425,-151.5483,36.03,83,20,3.44,few clouds
59,Khatanga,RU,2022-04-07 17:28:07,71.9667,102.5,5.47,91,100,13.4,overcast clouds
60,Tambopata,PE,2022-04-07 17:28:08,-12.7333,-69.1833,91.29,58,40,3.44,scattered clouds
61,Araouane,ML,2022-04-07 17:28:08,18.9048,-3.5265,102.76,7,7,14.92,clear sky
